date,pct_above_200d,pct_above_50d,advancers,decliners,ad_line,new_highs,new_lows,nh_nl
2025-07-30,0.0,0.0,0,0,0,0,0,0
2025-07-31,0.0,0.0,143,355,-212,0,0,0
2025-08-01,0.0,0.0,138,361,-435,0,0,0
2025-08-04,0.0,0.0,430,68,-73,0,0,0
2025-08-05,0.0,0.0,217,281,-137,0,0,0
2025-08-06,0.0,0.0,243,257,-151,0,0,0
2025-08-07,0.0,0.0,247,248,-152,0,0,0
2025-08-08,0.0,0.0,300,197,-49,0,0,0
2025-08-11,0.0,0.0,173,321,-197,0,0,0
2025-08-12,0.0,0.0,400,98,105,0,0,0
2025-08-13,0.0,0.0,407,93,419,0,0,0
2025-08-14,0.0,0.0,142,356,205,0,0,0
2025-08-15,0.0,0.0,206,292,119,0,0,0
2025-08-18,0.0,0.0,238,262,95,0,0,0
2025-08-19,0.0,0.0,341,157,279,0,0,0
2025-08-20,0.0,0.0,257,239,297,0,0,0
2025-08-21,0.0,0.0,166,333,130,0,0,0
2025-08-22,0.0,0.0,421,79,472,0,0,0
2025-08-25,0.0,0.0,105,392,185,0,0,0
2025-08-26,0.0,0.0,272,226,231,0,0,0
2025-08-27,0.0,0.0,339,159,411,0,0,0
2025-08-28,0.0,0.0,228,270,369,0,0,0
2025-08-29,0.0,0.0,271,227,413,0,0,0
2025-09-02,0.0,0.0,127,371,169,0,0,0
2025-09-03,0.0,0.0,226,274,121,0,0,0
2025-09-04,0.0,0.0,369,129,361,0,0,0
2025-09-05,0.0,0.0,269,231,399,0,0,0
2025-09-08,0.0,0.0,246,251,394,0,0,0
2025-09-09,0.0,0.0,212,286,320,0,0,0
2025-09-10,0.0,54.2,211,288,243,0,0,0
2025-09-11,0.0,68.0,428,69,602,0,0,0
2025-09-12,0.0,60.0,119,379,342,0,0,0
2025-09-15,0.0,56.6,208,290,260,0,0,0
2025-09-16,0.0,52.6,183,315,128,0,0,0
2025-09-17,0.0,55.2,293,206,215,0,0,0
2025-09-18,0.0,58.0,322,176,361,0,0,0
2025-09-19,0.0,56.4,223,275,309,0,0,0
2025-09-22,0.0,57.2,252,246,315,0,0,0
2025-09-23,0.0,60.4,273,224,364,0,0,0
2025-09-24,0.0,57.6,212,285,291,0,0,0
2025-09-25,0.0,50.0,122,377,36,0,0,0
2025-09-26,0.0,57.8,425,74,387,0,0,0
2025-09-29,0.0,59.2,310,190,507,0,0,0
2025-09-30,0.0,61.0,306,193,620,0,0,0
2025-10-01,0.0,59.0,217,282,555,0,0,0
2025-10-02,0.0,58.8,273,223,605,0,0,0
2025-10-03,0.0,62.4,318,180,743,0,0,0
2025-10-06,0.0,61.0,242,258,727,0,0,0
2025-10-07,0.0,57.2,197,301,623,0,0,0
2025-10-08,0.0,57.6,268,230,661,0,0,0
2025-10-09,0.0,52.4,122,377,406,0,0,0
2025-10-10,0.0,39.2,78,422,62,0,0,0
2025-10-13,0.0,44.6,357,140,279,0,0,0
2025-10-14,0.0,51.0,381,118,542,0,0,0
2025-10-15,0.0,51.0,250,247,545,0,0,0
2025-10-16,0.0,42.0,133,366,312,0,0,0
2025-10-17,0.0,46.4,354,145,521,0,0,0
2025-10-20,0.0,54.0,409,87,843,0,0,0
2025-10-21,0.0,55.6,293,205,931,0,0,0
2025-10-22,0.0,52.0,191,307,815,0,0,0
2025-10-23,0.0,53.6,288,211,892,0,0,0
2025-10-24,0.0,54.2,265,232,925,0,0,0
2025-10-27,0.0,58.08,325,173,1077,0,0,0
2025-10-28,0.0,49.3,107,393,791,0,0,0
2025-10-29,0.0,43.31,131,369,553,0,0,0
2025-10-30,0.0,42.71,227,272,508,0,0,0
2025-10-31,0.0,42.32,267,230,545,0,0,0
2025-11-03,0.0,40.32,190,309,426,0,0,0
2025-11-04,0.0,40.32,217,283,360,0,0,0
2025-11-05,0.0,41.52,310,187,483,0,0,0
2025-11-06,0.0,39.72,163,338,308,0,0,0
2025-11-07,0.0,45.11,387,113,582,0,0,0
2025-11-10,0.0,47.5,321,178,725,0,0,0
2025-11-11,0.0,51.1,338,162,901,0,0,0
2025-11-12,0.0,53.4,297,201,997,0,0,0
