date,und,expiry,strike,type,oi_prev,oi_now,d_oi,prev_volume,spot
2026-07-26,SPY,2026-07-31,740.0,P,0,72202,72202,0,738.18
2026-07-26,QQQ,2026-07-31,695.0,P,0,57297,57297,0,691.96
2026-07-26,SPY,2026-07-31,720.0,P,0,54221,54221,0,738.18
2026-07-26,QQQ,2026-07-31,730.0,C,0,51348,51348,0,691.96
2026-07-26,QQQ,2026-07-31,736.0,C,0,46881,46881,0,691.96
2026-07-26,SPY,2026-07-31,715.0,P,0,45502,45502,0,738.18
2026-07-26,QQQ,2026-07-31,700.0,P,0,44449,44449,0,691.96
2026-07-26,QQQ,2026-07-31,733.0,C,0,42396,42396,0,691.96
2026-07-26,SPY,2026-07-31,725.0,P,0,42032,42032,0,738.18
2026-07-26,SPY,2026-07-31,710.0,P,0,40981,40981,0,738.18
2026-07-26,QQQ,2026-07-31,690.0,P,0,40382,40382,0,691.96
2026-07-26,SPY,2026-07-31,700.0,P,0,39830,39830,0,738.18
2026-07-26,QQQ,2026-07-31,740.0,C,0,35361,35361,0,691.96
2026-07-26,SPY,2026-07-31,755.0,C,0,34655,34655,0,738.18
2026-07-26,SPY,2026-07-31,750.0,P,0,34619,34619,0,738.18
2026-07-26,QQQ,2026-07-31,650.0,P,0,33853,33853,0,691.96
2026-07-26,SPY,2026-07-31,730.0,P,0,32759,32759,0,738.18
2026-07-26,QQQ,2026-07-31,680.0,P,0,32688,32688,0,691.96
2026-07-26,SPY,2026-07-31,743.0,P,0,29663,29663,0,738.18
2026-07-26,QQQ,2026-07-31,665.0,P,0,26725,26725,0,691.96
2026-07-26,SPY,2026-07-31,716.0,P,0,23583,23583,0,738.18
2026-07-26,SPY,2026-07-31,735.0,P,0,21939,21939,0,738.18
2026-07-26,QQQ,2026-07-31,660.0,P,0,21721,21721,0,691.96
2026-07-26,SPY,2026-07-31,681.0,P,0,21706,21706,0,738.18
2026-07-26,QQQ,2026-07-31,692.0,P,0,20580,20580,0,691.96
2026-07-26,SPY,2026-07-31,760.0,C,0,18176,18176,0,738.18
2026-07-26,SPY,2026-07-31,705.0,P,0,18054,18054,0,738.18
2026-07-26,SPY,2026-07-31,745.0,P,0,17148,17148,0,738.18
2026-07-26,SPY,2026-07-31,724.0,P,0,16622,16622,0,738.18
2026-07-26,SPY,2026-07-31,750.0,C,0,16448,16448,0,738.18
2026-07-26,SPY,2026-07-31,682.0,P,0,15992,15992,0,738.18
2026-07-26,QQQ,2026-07-31,670.0,P,0,15303,15303,0,691.96
2026-07-26,QQQ,2026-07-31,644.0,P,0,14191,14191,0,691.96
2026-07-26,SPY,2026-07-31,695.0,P,0,13387,13387,0,738.18
2026-07-26,QQQ,2026-07-31,685.0,P,0,13045,13045,0,691.96
2026-07-26,SPY,2026-07-31,765.0,C,0,12816,12816,0,738.18
2026-07-26,QQQ,2026-07-31,655.0,P,0,12207,12207,0,691.96
2026-07-26,QQQ,2026-07-31,640.0,P,0,12081,12081,0,691.96
2026-07-26,SPY,2026-07-31,680.0,P,0,11654,11654,0,738.18
2026-07-26,QQQ,2026-07-31,675.0,P,0,11549,11549,0,691.96
2026-07-26,SPY,2026-07-31,703.0,P,0,11342,11342,0,738.18
2026-07-26,QQQ,2026-07-31,635.0,P,0,11049,11049,0,691.96
2026-07-26,QQQ,2026-07-31,682.0,P,0,10618,10618,0,691.96
2026-07-26,QQQ,2026-07-31,720.0,C,0,10344,10344,0,691.96
2026-07-26,QQQ,2026-07-31,702.0,P,0,10144,10144,0,691.96
2026-07-26,SPY,2026-07-31,714.0,P,0,9715,9715,0,738.18
2026-07-26,SPY,2026-07-31,770.0,C,0,9503,9503,0,738.18
2026-07-26,QQQ,2026-07-31,725.0,C,0,9364,9364,0,691.96
2026-07-26,SPY,2026-07-31,745.0,C,0,9246,9246,0,738.18
2026-07-26,SPY,2026-07-31,800.0,C,0,9043,9043,0,738.18
2026-07-26,SPY,2026-07-31,670.0,P,0,8407,8407,0,738.18
2026-07-26,QQQ,2026-07-31,710.0,P,0,8341,8341,0,691.96
2026-07-26,SPY,2026-07-31,780.0,C,0,8319,8319,0,738.18
2026-07-26,SPY,2026-07-31,742.0,P,0,8136,8136,0,738.18
2026-07-26,SPY,2026-07-31,704.0,P,0,7916,7916,0,738.18
2026-07-26,SPY,2026-07-31,740.0,C,0,7876,7876,0,738.18
2026-07-26,QQQ,2026-07-31,743.0,C,0,7764,7764,0,691.96
2026-07-26,SPY,2026-07-31,690.0,P,0,7754,7754,0,738.18
2026-07-26,QQQ,2026-07-31,750.0,C,0,7751,7751,0,691.96
2026-07-26,SPY,2026-07-31,734.0,P,0,7637,7637,0,738.18
2026-07-26,SPY,2026-07-31,675.0,P,0,7510,7510,0,738.18
